1084.758 45.00 113.93 
1086.28 45.00 113.93 
1087.779 45.00 113.93 
1089.287 45.00 113.93 
1090.811 45.00 113.93 
1092.314 44.94 126.43 
1093.832 45.00 113.95 
1095.336 45.00 113.95 
1096.856 44.94 126.45 
1098.358 45.00 113.98 
1099.875 45.00 113.98 
1101.379 44.94 126.48 
1102.896 45.00 114.00 
1104.403 44.94 126.50 
1105.919 45.00 114.02 
1107.424 44.94 126.52 
1108.941 45.00 114.05 
1110.446 44.94 126.55 
1111.948 45.00 114.07 
1113.472 44.94 126.57 
1114.976 45.00 114.09 
1116.492 45.00 114.09 
1117.988 44.94 126.59 
1119.512 44.94 126.62 
1121.02 44.94 126.64 
1122.534 44.94 126.66 
1124.044 44.94 126.69 
1125.556 44.94 126.71 
1127.065 44.94 126.73 
1128.577 45.00 114.26 
1130.087 44.94 126.76 
1131.602 44.94 126.78 
1133.108 44.94 126.80 
1134.623 44.94 126.83 
1136.132 44.94 126.85 
1137.635 44.94 126.87 
1139.152 44.94 126.90 
1140.655 44.94 126.92 
1142.175 44.94 126.95 
1143.678 44.94 126.97 
1145.192 44.94 126.99 
1146.701 44.94 127.02 
1148.214 45.00 114.54 
1149.721 44.94 127.04 
1151.246 44.94 127.06 
1152.744 44.94 127.09 
1154.266 44.94 127.11 
1155.768 45.00 114.63 
1157.289 44.94 127.13 
1158.787 44.94 127.16 
1160.31 44.94 127.18 
1161.809 44.94 127.20 
1163.333 44.94 127.23 
1164.832 44.94 127.25 
1166.336 44.94 127.27 
1167.856 44.94 127.30 
1169.359 44.94 127.32 
1170.875 45.00 114.84 
1172.383 44.94 127.34 
1173.906 44.94 127.37 
1175.407 45.00 114.89 
1176.919 44.94 127.39 
1178.429 45.00 114.91 
1179.95 44.94 127.41 
1181.448 44.94 127.44 
1182.964 44.94 127.46 
1184.47 45.00 114.98 
1185.993 44.94 127.48 
1187.499 45.00 115.01 
1188.999 45.00 115.01 
1190.513 45.00 115.01 
1192.024 44.94 127.51 
1193.544 45.00 115.03 
1195.044 44.94 127.53 
1196.566 44.94 127.55 
1198.063 45.00 115.08 
1199.582 45.00 115.08 
1201.087 45.00 115.08 
1202.611 44.94 127.58 
1204.108 45.00 115.10 
1205.628 45.00 115.10 
1207.136 45.00 115.10 
1208.647 45.00 115.10 
1210.152 44.94 127.60 
1211.656 45.00 115.12 
1213.184 44.94 127.62 
1214.68 44.94 127.65 
1216.207 45.00 115.17 
1217.71 45.00 115.17 
1219.223 44.94 127.67 
1220.734 44.94 127.70 
1222.246 45.00 115.22 
1223.745 44.94 127.72 
1225.273 44.94 127.74 
1226.778 45.00 115.27 
1228.286 45.00 115.27 
1229.798 45.00 115.27 
1231.316 45.00 115.27 
1232.817 44.94 127.77 
1234.334 44.94 127.79 
1235.843 45.00 115.31 
1237.355 45.00 115.31 
1238.86 44.94 127.81 
1240.367 44.94 127.84 
1241.886 44.94 127.86 
1243.387 45.00 115.38 
1244.908 44.94 127.88 
1246.414 45.00 115.41 
1247.931 44.94 127.91 
1249.437 44.94 127.93 
1250.957 44.94 127.95 
1252.457 44.94 127.98 
1253.976 44.94 128.00 
1255.484 44.94 128.02 
1256.994 44.94 128.05 
1258.498 44.94 128.07 
1260.02 44.94 128.09 
1261.527 44.94 128.12 
1263.031 44.94 128.14 
1264.545 44.94 128.16 
1266.054 44.94 128.19 
1267.566 44.94 128.21 
1269.075 44.94 128.23 
1270.587 44.94 128.26 
1272.097 45.00 115.78 
1273.616 44.94 128.28 
1275.118 44.94 128.30 
1276.633 44.94 128.33 
1278.14 44.94 128.35 
1279.655 44.94 128.38 
1281.163 45.00 115.90 
1282.678 44.94 128.40 
1284.184 44.94 128.42 
1285.701 45.00 115.95 
1287.208 45.00 115.95 
1288.708 44.94 128.45 
1290.228 44.94 128.47 
1291.731 44.94 128.49 
1293.252 44.94 128.52 
1294.752 44.94 128.54 
1296.279 45.00 116.06 
1297.783 45.00 116.06 
1299.301 45.00 116.06 
1300.803 45.00 116.06 
1302.322 44.94 128.56 
1303.828 44.94 128.59 
1305.347 44.94 128.61 
1306.848 45.00 116.13 
1337.347 :tmp-error
1338.867 45.00 0.00 
1340.368 45.00 0.00 
1341.885 45.00 0.00 
1343.396 45.00 0.00 
1344.915 45.06 0.00 
1346.41 45.00 0.00 
1347.928 45.06 0.00 
1349.441 45.06 0.00 
1350.936 45.06 0.00 
1352.456 45.06 0.00 
